taxonNameID,scientificName,acceptedTaxonNameID,acceptedTaxonName,higherTaxonNameID,higherTaxonName,basionymID,basionym,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,nomenclaturalCode,namePublicationID,namePublishedIn,taxonomicStatus,nomenclaturalStatus,taxonRemarks,taxonConceptID,taxonAccordingTo
,"Puccinia",,"",,"",,"","","","","","","","","","","Genus","Thüm.","",,"Bull. Soc. Imp. nat. Moscou,  55: 208 (1880)","","","",,""
,"eriophori",,"",,"",,"Puccinia eriophori","","","","","","","","","","Species","Thüm.","ICBN",,"Bull. Soc. Imp. nat. Moscou,  55: 208 (1880)","","Assumed Valid","",,""
,"Puccinia",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. VII: 730","","","",,""
,"eriophori",,"",,"",,"Puccinia eriophori","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. VII: 730","","","",,""
,"Puccinia",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XII: 632","","","",,""
,"eriophori",,"",,"",,"Puccinia eriophori","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XII: 632","","","",,""
,"Puccinia",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XVII: 466","","","",,""
,"eriophori",,"",,"",,"Puccinia eriophori","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XVII: 466","","","",,""
,"Puccinia",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XX: 580","","","",,""
,"eriophori",,"",,"",,"Puccinia eriophori","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XX: 580","","","",,""
,"Rhabdospora",,"",,"",,"","","","","","","","","","","Genus","Har. & P. Karst.","",,"Index Fungorum","","","",,""
,"thalictri",,"",,"",,"Rhabdospora thalictri","","","","","","","","","","Species","Har. & P. Karst.","ICBN",,"Index Fungorum","","Assumed Valid","",,""
,"Rhabdospora",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. X: 392","","","",,""
,"thalictri",,"",,"",,"Rhabdospora thalictri","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. X: 392","","","",,""
,"Rhabdospora",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XII: 662","","","",,""
,"thalictri",,"",,"",,"Rhabdospora thalictri","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XII: 662","","","",,""
,"Septoria",,"",,"",,"","","","","","","","","","","Genus","Bubák","",,"Bulletin de l'Herbier Boissier,  6: 477 (1906)","","","",,""
,"dominii",,"",,"",,"Septoria dominii","","","","","","","","","","Species","Bubák","ICBN",,"Bulletin de l'Herbier Boissier,  6: 477 (1906)","","Assumed Valid","",,""
,"Septoria",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XXII: 1091","","","",,""
,"dominii",,"",,"",,"Septoria dominii","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XXII: 1091","","","",,""
,"Septoria",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XXV: 409","","","",,""
,"dominii",,"",,"",,"Septoria dominii","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XXV: 409","","","",,""
,"Sphaeria",,"",,"",,"","","","","","","","","","","Genus","Pers.","",,"Observ. mycol.,  1: 67 (1796)","","","",,""
